ИЁКа	67	10	10	24	-	18	UICC	8
СеТ∞Ка	40	25	36	105	-	116	UICC	8
УыКа	43	29	3	-	-	13	UICC	8
ФxКа	64	21	55	49	-	110	UICC	8
КћКа	-	15	28	-	-	40	UICC	8
